timestamp,k_levels,thresholds,psnr,ssim,oa,kappa
2025-06-05 22:24:49,10,0|26|52|77|103|128|154|180|205|230|255,9.2617,0.4466,1.0000,nan
2025-06-05 22:25:07,12,0|9|25|49|71|94|118|141|164|187|210|232|255,10.0173,0.4869,1.0000,nan
2025-06-05 22:25:42,14,0|25|45|62|79|97|115|132|149|166|183|201|219|237|255,10.8150,0.4826,1.0000,nan
2025-06-09 21:04:43,10,0|26|52|77|103|128|154|180|205|230|255,9.2617,0.4466,1.0000,nan
2025-06-09 21:05:01,12,0|9|25|48|69|92|115|138|161|184|207|231|255,9.9699,0.4837,1.0000,nan
2025-06-09 21:05:19,14,0|9|25|48|67|87|107|126|145|164|183|201|219|237|255,10.7940,0.4836,1.0000,nan
