k,Thresholds,PSNR,SSIM,OA,Kappa
10,"[0, np.int32(27), np.int32(51), np.int32(76), np.int32(102), np.int32(128), np.int32(154), np.int32(180), np.int32(205), np.int32(230), 255]",7.97,0.2076,0.3649,0.3315
12,"[0, np.int32(18), np.int32(36), np.int32(55), np.int32(75), np.int32(96), np.int32(117), np.int32(139), np.int32(162), np.int32(184), np.int32(207), np.int32(231), 255]",8.64,0.2051,0.3668,0.3340
14,"[0, np.int32(17), np.int32(34), np.int32(51), np.int32(68), np.int32(85), np.int32(103), np.int32(122), np.int32(141), np.int32(160), np.int32(179), np.int32(198), np.int32(217), np.int32(236), 255]",9.60,0.2024,0.3679,0.3351
2025-06-04 21:53:08,10,"[0, np.int32(32), np.int32(58), np.int32(84), np.int32(109), np.int32(134), np.int32(159), np.int32(183), np.int32(207), np.int32(231), 255]",8.03,0.2124,0.3600,0.3263
2025-06-04 21:53:22,12,"[0, np.int32(22), np.int32(43), np.int32(64), np.int32(85), np.int32(105), np.int32(126), np.int32(147), np.int32(168), np.int32(189), np.int32(211), np.int32(233), 255]",8.79,0.2141,0.3619,0.3282
2025-06-04 21:53:33,14,"[0, np.int32(16), np.int32(33), np.int32(50), np.int32(67), np.int32(84), np.int32(102), np.int32(121), np.int32(139), np.int32(158), np.int32(177), np.int32(195), np.int32(214), np.int32(234), 255]",9.53,0.1985,0.3605,0.3267
